"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-01 ~ 2025-04-30"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"114","경기도 파주시 탄현면 법흥리","1***","다가구","8m미만","234.61","197.70","202504","30","47,000","개인","개인","2011","약산골길","-","중개거래","경기 파주시"
"115","전라남도 함평군 손불면 궁산리","4**","단독","8m미만","113.94","496.00","202504","30","3,000","개인","개인","1960","손불덕산길","20250529","중개거래","전남 나주시"
"116","전라남도 순천시 풍덕동","8**","단독","25m미만","52.89","247.60","202504","30","21,000","개인","개인","1974","중앙초등길","-","중개거래","전남 순천시"
"117","전라남도 광양시 중동","1***","다가구","8m미만","401.96","238.40","202504","30","55,000","개인","개인","2010","중마용소2길","-","직거래","-"
"118","충청남도 아산시 둔포면 신남리","6**","단독","8m미만","278.39","424.00","202504","30","73,690","개인","개인","2023","장영실로","-","직거래","-"
"119","전북특별자치도 완주군 구이면 광곡리","5**","단독","8m미만","129.88","942.00","202504","30","25,500","개인","개인","1998","원광곡1길","-","직거래","-"
"120","울산광역시 울주군 언양읍 동부리","3**","단독","12m미만","97.89","367.80","202504","30","32,000","개인","개인","2001","북문3길","-","직거래","-"
"121","충청남도 아산시 신창면 오목리","3**","단독","12m미만","63.14","198.00","202504","30","5,400","개인","개인","1900","서부북로","-","중개거래","충남 아산시"
"122","경기도 성남시 수정구 산성동","5*","다가구","12m미만","235.04","102.70","202504","30","89,500","개인","개인","1998","수정남로339번길","-","중개거래","경기 성남시 수정구"
"123","경상남도 창녕군 길곡면 오호리","6**","단독","8m미만","59.51","185.00","202504","30","5,100","개인","개인","1966","길곡신촌길","-","중개거래","경남 창녕군"
"124","경상북도 김천시 평화동","3**","단독","12m미만","58.47","109.09","202504","30","3,200","개인","개인","1977","평화길","-","직거래","-"
"125","충청북도 청주시 상당구 대성동","1**","다가구","25m미만","367.90","233.90","202504","30","96,180","개인","법인","2021","용담로","-","직거래","-"
