video_id,comment_id,author,text,like_count,published_at
HAZbN8RD_wQ,UgxLUH3Q9SPxCrAIED94AaABAg,@CR7Gutos,그렇다 고기도 먹어본놈이 아는거였다,2,2021-07-09T04:50:59Z
HAZbN8RD_wQ,UgwjNYQ8ugi_Ecm8_6B4AaABAg,@fox482960,애이 그런 재미라도 있어야지ㅡ진짜 리얼 이었다 ㅡㅡㅋ ㅋ ㅋ,1,2021-07-09T03:22:22Z
HAZbN8RD_wQ,Ugy6JHv-GlDaJnjJBxF4AaABAg,@엘상산시리즈,"내 아들 이름이 강민인데..
내 아들 때린 성현이  너 혼난다...",0,2021-07-08T23:58:45Z
HAZbN8RD_wQ,Ugwq4E6cxgOTa6Qm5LJ4AaABAg,@taewookim8752,둘이 몇년을 팀에서 같이했는데 당연히 장난이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 엘팬인데 저건 개웃긴 꽁트아니냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,2021-07-08T23:45:13Z
HAZbN8RD_wQ,UgzIR8FYxAjxoSskRld4AaABAg,@nuujackswing,0:37....구단주님이 친절하게 설명까지 다 해 주시네..역시 친절한 용진이 형...,27,2021-07-08T23:21:24Z
HAZbN8RD_wQ,Ugztyasv3FbVLIPpObJ4AaABAg,@행복크루옴마,아진짜 왤케웃겨!!!!,1,2021-07-08T21:54:40Z
HAZbN8RD_wQ,UgzZnFvt7CSm6cR4AyV4AaABAg,@김종환-z8g,ㅋㅋㅋㅋㅋㅋ,0,2021-07-08T21:29:16Z
HAZbN8RD_wQ,UgzX1RhVjJiU6kcwc8p4AaABAg,@comtingy,군대문화 서열문화 선후배문화 조폭문화 한국스포츠계 자체가 그냥 이런거죠?,0,2021-07-08T21:22:23Z
HAZbN8RD_wQ,Ugw9KoeV9MhzjOLir654AaABAg,@젝젝-x8w,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2021-07-08T17:58:48Z
HAZbN8RD_wQ,UgwQW77_FY27-duBn4d4AaABAg,@dukenanick,화난것도 있는데 진심 황당한것같았는데 ㅋㅋㅋ,1,2021-07-08T15:49:57Z
HAZbN8RD_wQ,UgwznsBHS4UGmUhSzIF4AaABAg,@jho9714,정의윤은 혀가 짧은가? 마우스피스?,0,2021-07-08T14:30:42Z
HAZbN8RD_wQ,Ugz6Bmq_FqvByil1_Yh4AaABAg,@뉴스타샤론,최민준 졸귀 ㅋㅋ,0,2021-07-08T14:00:09Z
HAZbN8RD_wQ,Ugzx6hHKWJf2JJ6m3wV4AaABAg,@이엘리-q8c,"강민아..니 대구 출신이네..본리초 대구중 경고 나왔다메??? 근데 왜 표준말을 쓰고 지뤌이냐? ,귀때기 왕복으로 한찰 맞을래?",0,2021-07-08T12:54:21Z
HAZbN8RD_wQ,Ugw0yjxKSWn67DqhmpF4AaABAg,@이스핑크스6,너무 재밋음 ~,0,2021-07-08T12:43:09Z
HAZbN8RD_wQ,UgzYUVm8WWIn7-YxTyV4AaABAg,@천연수-o7j,나 이거 너무 궁금했는데,0,2021-07-08T12:25:00Z
HAZbN8RD_wQ,Ugyq2y23TtGloFRhL054AaABAg,@아아오오우우호호,아 진짜 존나 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2021-07-08T11:32:14Z
HAZbN8RD_wQ,UgwxDeKU6_cbLExbMPp4AaABAg,@odscomoh1661,헬멧이나 방망이를 벽에다 던졌어야지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,2021-07-08T11:19:57Z
