video_id,playlist_id,playlist_title,playlist_label
BxAW1PpAs_k,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
1XsLihDCe_8,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
xv0WwZ1o1DA,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
5058JNsTN6k,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
I8pBCNc7qoA,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
j8dD3ukxDRY,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
kVGWYPm-Jw4,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
3qKdXaE6Aqo,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
CrP0J-KiAnw,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
O4q6fEeE8CU,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
plMdJHiDPyU,PL8_8tSGm7y1Ch1SD1QEIdrF6AhZp9cG5N,2024 승리의 하이라이트,playlist_8
